Orth,Phon
tch,tʃ
n·h,nh
l·h,lh
ch,tʃ
dj,dʒ
tj,tʃ
nh,ɲ
lh,ʎ
sh,ʃ
qu,k
gu,ɡ
gü,ɡw
qü,kw
th,t
ph,f
rr,r
ss,s
tz,ts
mp,mp
mb,mb
nt,nt
nd,nd
nc,ŋk
ng,ŋɡ
ai,aj
ei,ej
oi,uj
au,aw
eu,ew
ou,uw
iu,iw
uè,wɛ
uò,wɔ
ue,we
iè,jɛ
iò,jɔ
à,a
á,a
è,ɛ
é,e
ê,ɛ
í,i
ï,i
ì,i
ò,ɔ
ó,u
ô,u
ú,y
ù,y
ü,y
a,a
b,b
c,k
ç,s
d,d
e,e
f,f
g,ɡ
h,
i,i
j,dʒ
k,k
l,l
m,m
n,n
o,o
p,p
q,k
r,ɾ
s,s
t,t
u,u
v,b
w,w
x,ks
y,i
z,z
A,a
B,b
C,k
Ç,s
D,d
E,e
F,f
G,ɡ
H,
I,i
J,dʒ
K,k
L,l
M,m
N,n
O,u
P,p
Q,k
R,ɾ
S,s
T,t
U,u
V,b
W,w
X,ks
Y,i
Z,z
À,a
È,ɛ
É,e
Í,i
Ò,ɔ
Ó,o
Ú,y
Ü,y
